"ID","BDAT","FDAT","ARDAT","LACT","CBRD","XLAME","LLAME","PSTRG","Event","DIM","Date","Remark","Protocols","Technician",
      3268 ,03/17/11,02/26/18,11/17/18,   6 ,J    ,    1 ,    0 ,    2 ,LAME       , 252 ,11/05/18,F.BL            ,FOOTROT         ,,
      3470 ,03/20/11,09/29/18,09/14/19,   6 ,J    ,    1 ,    3 ,    2 ,LAME       ,   5 ,10/04/18,BLOCK LB        ,LAMINITIS       ,,
      3492 ,07/06/20,07/21/22,10/18/23,   1 ,X    ,    0 ,    0 ,    2 ,FOOTRIM    , 403 ,08/28/23,NONE            ,J&t,,
      3978 ,06/19/16,06/04/18,11/08/18,   1 ,X    ,    1 ,    0 ,    2 ,LAME       , 154 ,11/05/18,U.BR            ,UPPERLEG        ,,
      4324 ,04/08/11,10/26/17,01/21/19,   5 ,J    ,    3 ,    0 ,    2 ,LAME       , 368 ,10/29/18,L8              ,LAMINITIS       ,,
      4667 ,03/28/10,11/14/18,01/03/20,   5 ,H    ,    0 ,    5 ,    2 ,FOOTRIM    , 191 ,05/24/19,FL.ULCR         ,                ,,
      4667 ,03/28/10,11/14/18,01/03/20,   5 ,H    ,    0 ,    5 ,    2 ,FOOTRIM    , 191 ,05/24/19,FR.ULCR         ,                ,,
      4667 ,03/28/10,11/14/18,01/03/20,   5 ,H    ,    0 ,    5 ,    2 ,FOOTRIM    , 287 ,08/28/19,BL.WTLN         ,                ,,
      4667 ,03/28/10,11/14/18,01/03/20,   5 ,H    ,    0 ,    5 ,    2 ,FOOTRIM    , 345 ,10/25/19,BL.NOFT         ,                ,,
      5240 ,04/28/10,09/12/18,09/02/19,   6 ,X    ,    1 ,    4 ,    2 ,LAME       ,  47 ,10/29/18,L7              ,LAMINITIS       ,,
      5524 ,05/06/21,03/15/23,00000000 ,   1 ,X    ,    0 ,    0 ,    2 ,FOOTRIM    , 194 ,09/25/23,NONE            ,J&t,,
