"ID","BDAT","FDAT","ARDAT","LACT","CBRD","XLAME","LLAME","PSTRG","Event","DIM","Date","Remark","Protocols","Technician",
         6 ,00000000 ,10/26/18,02/27/20,   3 ,H    ,    1 ,    5 ,    3 ,LAME       , 164 ,04/08/19,D               ,DERMATITIS      ,,
         6 ,00000000 ,02/27/20,01/06/21,   4 ,H    ,    1 ,    6 ,    3 ,LAME       ,  56 ,04/23/20,D               ,DERMATITIS      ,,
         6 ,00000000 ,02/27/20,01/06/21,   4 ,H    ,    2 ,    6 ,    3 ,LAME       ,  98 ,06/04/20,D               ,DERMATITIS      ,,
         6 ,00000000 ,02/27/20,01/06/21,   4 ,H    ,    3 ,    6 ,    3 ,LAME       , 249 ,11/02/20,D               ,DERMATITIS      ,,
         7 ,00000000 ,01/16/19,03/11/20,   6 ,H    ,    1 ,    5 ,    3 ,LAME       , 341 ,12/23/19,T BLOCK         ,THIN SOLES      ,,
         9 ,08/04/12,01/13/18,07/02/19,   4 ,H    ,    2 ,    1 ,    3 ,LAME       , 271 ,10/11/18,D               ,DERMATITIS      ,,
         9 ,08/04/12,01/13/18,07/02/19,   4 ,H    ,    3 ,    1 ,    3 ,LAME       , 450 ,04/08/19,D               ,DERMATITIS      ,,
         9 ,08/04/12,07/02/19,07/16/20,   5 ,H    ,    1 ,    4 ,    3 ,LAME       , 300 ,04/27/20,F               ,FOOTROT         ,,
         9 ,08/04/12,07/02/19,07/16/20,   5 ,H    ,    2 ,    4 ,    3 ,LAME       , 301 ,04/28/20,EXN4.30         ,,,
         9 ,08/04/12,07/16/20,09/06/20,   6 ,H    ,    1 ,    5 ,    3 ,LAME       ,  46 ,08/31/20,T BLOCK         ,THIN SOLES      ,,
        16 ,08/01/18,09/28/22,09/08/23,   3 ,H    ,    1 ,    0 ,    3 ,LAME       , 187 ,04/03/23,TETDLF          , DD/Wart,Antonio,
        19 ,02/07/19,01/15/21,03/19/22,   1 ,H    ,    1 ,    0 ,    3 ,LAME       ,  34 ,02/18/21,TRIM            ,TRIM            ,,
        20 ,10/06/12,01/28/19,02/24/20,   5 ,H    ,    1 ,    3 ,    3 ,LAME       , 137 ,06/14/19,TRIM            ,TRIM            ,,
        20 ,10/06/12,02/24/20,04/11/21,   6 ,H    ,    1 ,    4 ,    3 ,LAME       , 154 ,07/27/20,TRIM            ,TRIM            ,,
        20 ,10/06/12,04/11/21,09/03/21,   7 ,H    ,    1 ,    5 ,    3 ,LAME       , 134 ,08/23/21,BLKXRR          ,WhiteLineIN     ,Antonio,
        21 ,08/05/18,08/15/20,04/15/22,   1 ,H    ,    1 ,    0 ,    3 ,LAME       , 229 ,04/01/21,TRIM            ,TRIM            ,,
        27 ,08/06/18,12/16/22,04/10/23,   3 ,H    ,    1 ,    0 ,    3 ,LAME       ,  94 ,03/20/23,TETDLR          , DD/Wart,Antonio,
        31 ,06/25/19,05/28/23,00000000 ,   3 ,J    ,    1 ,    0 ,    3 ,LAME       ,  33 ,06/30/23,TETDRR          , DD/Wart,,
